https://www.myminifactory.com/object/6048,https://cdn.myminifactory.com/assets/object-assets/579fad6e697d7/threedfiles/british-museum-taweret-1.stl,"Taweret at The British Museum, London",Late Period,600BC (circa),
https://www.myminifactory.com/object/6092,https://cdn.myminifactory.com/assets/object-assets/579fad8e723ce/threedfiles/british-museum-aischine-1.stl,"Aischine at the British Museum, London, UK",Roman,120-130 (circa),
https://www.myminifactory.com/object/6093,https://cdn.myminifactory.com/assets/object-assets/579fad8f18ec6/threedfiles/british-museum-epikouros-1.stl,"Epikouros at the British Museum, London, UK",Roman,3rdC BC(late)-2ndC BC (of original),
https://www.myminifactory.com/object/6112,https://cdn.myminifactory.com/assets/object-assets/579fad9ac3a44/threedfiles/head-of-a-bodhisattva-1.stl,"Head of a Bodhisattva at the Metropolitan Museum of Art, New York, USA",Tang dynasty (618&#x2013,907),ca. 710
https://www.myminifactory.com/object/6179,https://cdn.myminifactory.com/assets/object-assets/579fadc40a507/threedfiles/v-a-head-of-a-buddha-1.stl,Head of a Buddha,Ming Dynasty,1368-1644 (made),
https://www.myminifactory.com/object/6295,https://cdn.myminifactory.com/assets/object-assets/579fae320554f/threedfiles/v-a-foreign-envoy-from-a-tomb-1.stl,Foreign Envoy from a Tomb,,1400 to 1600 (made),
https://www.myminifactory.com/object/6318,https://cdn.myminifactory.com/assets/object-assets/579fae44dba3d/threedfiles/british-museum-rameses-ii-red-1.stl,"Rameses II Red at the British Museum, London, UK",19th Dynasty,1280BC (circa),
https://www.myminifactory.com/object/8106,https://cdn.myminifactory.com/assets/object-assets/579fb5aeac70e/threedfiles/nereids-1-1.stl,"Nereid in The British Museum, London",Classical Greek,400BC (circa),
https://www.myminifactory.com/object/8194,https://cdn.myminifactory.com/assets/object-assets/579fb5e58baaa/threedfiles/the-angel-gabriel-from-the-annunciation-v-a-decimated-1.stl,The Angel Gabriel From The Annunciation,,ca. 1415-1450 (made),
https://www.myminifactory.com/object/8209,https://cdn.myminifactory.com/assets/object-assets/579fb5f008e12/threedfiles/v-a-standing-bodhisatva-guanyin-d-1.stl,Standing Bodhisatva Guanyin,,575 - 625 (made),
https://www.myminifactory.com/object/8815,https://cdn.myminifactory.com/assets/object-assets/579fb78c6993f/threedfiles/british-museum-stone-rattkesnake-1.stl,"Stone Rattlesnake at The British Museum, London",Aztec,1325-1521 (circa),
https://www.myminifactory.com/object/8867,https://cdn.myminifactory.com/assets/object-assets/579fb7b50f219/threedfiles/british-museum-marble-statue-of-demeter-1.stl,"Marble Statue of demeter at the British Museum, London",Hellenistic,2ndC BC,
https://www.myminifactory.com/object/10225,https://cdn.myminifactory.com/assets/object-assets/579fbad44711f/threedfiles/v-a-standing-bodhisattva-1.stl,Standing Bodhisattva,,ca. 550 - ca. 575 (made),
https://www.myminifactory.com/object/10267,https://cdn.myminifactory.com/assets/object-assets/579fbaee7211a/threedfiles/met-bronze-foot-in-the-form-of-a-sphinx-1.stl,"Bronze Foot in the Form of a Sphinx at The Metropolitan Museum of Art, New York",Archaic,ca. 600 B.C.,
https://www.myminifactory.com/object/10455,https://cdn.myminifactory.com/assets/object-assets/579fbb7b9b710/threedfiles/guimet-elephant-zun-vase-1.stl,"Elephant Zun Vase at The Guimet Museum, Paris",,18th-11th century BC,
https://www.myminifactory.com/object/10457,https://cdn.myminifactory.com/assets/object-assets/579fbb7d67104/threedfiles/capital-in-the-form-of-a-sphinx-at-the-metropolitan-museum-of-art-new-york-1.stl,"Capital in the Form of a Sphinx at The Metropolitan Museum of Art, New York",Archaic,ca. 530 B.C.,
https://www.myminifactory.com/object/10467,https://cdn.myminifactory.com/assets/object-assets/579fbb89bb6f1/threedfiles/reliquary-shine-1.stl,Reliquary Shrine,,ca. 1490-1500 (made),
https://www.myminifactory.com/object/10685,https://cdn.myminifactory.com/assets/object-assets/579fbc4b40806/threedfiles/met-saint-margaret-of-antioch-1.stl,Saint Margaret of Antioch at the MET,null,ca. 1475,
